P4 sweep: 1542 jobs total, 0 already done; workers=24, cap=$100.0
== P1-fever: 672/672 jobs to run
[601/1542] P1-fever hub/extract/feverc_039 outcome=correct run=$0.016 sweep=$16.22
[602/1542] P1-fever hub/extract/feverc_041 outcome=correct run=$0.011 sweep=$16.26
[603/1542] P1-fever hub/extract/feverc_036 outcome=correct run=$0.020 sweep=$16.26
[604/1542] P1-fever hub/extract/feverc_040 outcome=correct run=$0.015 sweep=$16.26
[605/1542] P1-fever hub/extract/feverc_035 outcome=wrong_confident run=$0.026 sweep=$16.39
[606/1542] P1-fever hub/board_inert/feverc_000 outcome=correct run=$0.011 sweep=$16.43
[607/1542] P1-fever hub/board_inert/feverc_001 outcome=correct run=$0.013 sweep=$16.46
[608/1542] P1-fever hub/extract/feverc_037 outcome=correct run=$0.028 sweep=$16.46
[609/1542] P1-fever hub/extract/feverc_013 outcome=correct run=$0.049 sweep=$16.46
[610/1542] P1-fever hub/board/feverc_027 outcome=correct run=$0.090 sweep=$16.46
[611/1542] P1-fever hub/extract/feverc_047 outcome=correct run=$0.019 sweep=$16.61
[612/1542] P1-fever hub/extract/feverc_043 outcome=correct run=$0.027 sweep=$16.61
[613/1542] P1-fever hub/board_inert/feverc_007 outcome=correct run=$0.012 sweep=$16.61
[614/1542] P1-fever hub/extract/feverc_046 outcome=wrong_confident run=$0.021 sweep=$16.61
[615/1542] P1-fever hub/board_inert/feverc_008 outcome=wrong_confident run=$0.015 sweep=$16.71
[616/1542] P1-fever hub/board_inert/feverc_010 outcome=correct run=$0.005 sweep=$16.71
[617/1542] P1-fever hub/board_inert/feverc_009 outcome=correct run=$0.011 sweep=$16.71
[618/1542] P1-fever hub/extract/feverc_024 outcome=correct run=$0.060 sweep=$16.76
[619/1542] P1-fever hub/board_inert/feverc_013 outcome=correct run=$0.009 sweep=$16.79
[620/1542] P1-fever hub/board_inert/feverc_005 outcome=wrong_confident run=$0.023 sweep=$16.79
[621/1542] P1-fever hub/extract/feverc_002 outcome=wrong_confident run=$0.084 sweep=$16.83
[622/1542] P1-fever hub/board_inert/feverc_011 outcome=wrong_confident run=$0.025 sweep=$16.94
[623/1542] P1-fever hub/board_inert/feverc_014 outcome=wrong_confident run=$0.012 sweep=$16.94
[624/1542] P1-fever hub/extract/feverc_001 outcome=correct run=$0.063 sweep=$16.94
[625/1542] P1-fever hub/board_inert/feverc_016 outcome=correct run=$0.027 sweep=$17.05
[626/1542] P1-fever hub/board_inert/feverc_020 outcome=wrong_confident run=$0.009 sweep=$17.11
[627/1542] P1-fever hub/extract/feverc_022 outcome=correct run=$0.065 sweep=$17.11
[628/1542] P1-fever hub/board_inert/feverc_023 outcome=wrong_confident run=$0.015 sweep=$17.11
[629/1542] P1-fever hub/board_inert/feverc_021 outcome=correct run=$0.010 sweep=$17.14
[630/1542] P1-fever hub/board_inert/feverc_022 outcome=correct run=$0.031 sweep=$17.20
[631/1542] P1-fever hub/board_inert/feverc_026 outcome=wrong_confident run=$0.015 sweep=$17.20
[632/1542] P1-fever hub/board_inert/feverc_028 outcome=correct run=$0.011 sweep=$17.26
[633/1542] P1-fever hub/extract/feverc_044 outcome=correct run=$0.045 sweep=$17.41
[634/1542] P1-fever hub/board_inert/feverc_004 outcome=correct run=$0.051 sweep=$17.47
[635/1542] P1-fever hub/board_inert/feverc_002 outcome=wrong_confident run=$0.046 sweep=$17.47
[636/1542] P1-fever hub/extract/feverc_031 outcome=correct run=$0.075 sweep=$17.50
[637/1542] P1-fever hub/extract/feverc_026 outcome=wrong_confident run=$0.070 sweep=$17.50
[638/1542] P1-fever hub/extract/feverc_030 outcome=correct run=$0.065 sweep=$17.50
[639/1542] P1-fever hub/board_inert/feverc_025 outcome=correct run=$0.038 sweep=$17.56
[640/1542] P1-fever hub/extract/feverc_045 outcome=correct run=$0.038 sweep=$17.56
[641/1542] P1-fever hub/board_inert/feverc_034 outcome=correct run=$0.017 sweep=$17.63
[642/1542] P1-fever hub/board_inert/feverc_032 outcome=wrong_confident run=$0.029 sweep=$17.66
[643/1542] P1-fever hub/board_inert/feverc_036 outcome=correct run=$0.012 sweep=$17.66
[644/1542] P1-fever hub/board_inert/feverc_037 outcome=correct run=$0.013 sweep=$17.66
[645/1542] P1-fever hub/board_inert/feverc_038 outcome=wrong_confident run=$0.014 sweep=$17.78
[646/1542] P1-fever hub/board_inert/feverc_033 outcome=correct run=$0.018 sweep=$17.78
[647/1542] P1-fever hub/board_inert/feverc_006 outcome=correct run=$0.051 sweep=$17.78
[648/1542] P1-fever hub/board_inert/feverc_041 outcome=correct run=$0.008 sweep=$17.78
[649/1542] P1-fever hub/board_inert/feverc_035 outcome=wrong_confident run=$0.020 sweep=$17.78
[650/1542] P1-fever hub/board_inert/feverc_027 outcome=wrong_confident run=$0.043 sweep=$17.78
[651/1542] P1-fever hub/board_inert/feverc_039 outcome=correct run=$0.016 sweep=$17.88
[652/1542] P1-fever hub/board_inert/feverc_017 outcome=wrong_confident run=$0.052 sweep=$17.95
[653/1542] P1-fever hub/board_inert/feverc_040 outcome=correct run=$0.013 sweep=$17.95
[654/1542] P1-fever hub/extract/feverc_027 outcome=wrong_confident run=$0.083 sweep=$17.95
[655/1542] P1-fever hub/board_inert/feverc_042 outcome=correct run=$0.018 sweep=$17.98
[656/1542] P1-fever hub/board_inert/feverc_024 outcome=correct run=$0.044 sweep=$18.02
[657/1542] P1-fever hub/extract/feverc_015 outcome=wrong_confident run=$0.111 sweep=$18.10
[658/1542] P1-fever hub/board_inert/feverc_019 outcome=correct run=$0.086 sweep=$18.14
[659/1542] P1-fever hub/board_inert/feverc_044 outcome=correct run=$0.038 sweep=$18.20
[660/1542] P1-fever hub/board_inert/feverc_015 outcome=correct run=$0.075 sweep=$18.26
[661/1542] P1-fever hub/board_inert/feverc_003 outcome=correct run=$0.103 sweep=$18.34
[662/1542] P1-fever hub/board_inert/feverc_047 outcome=correct run=$0.045 sweep=$18.36
[663/1542] P1-fever hub/extract/feverc_042 outcome=correct run=$0.041 sweep=$18.37
[664/1542] P1-fever hub/board_inert/feverc_012 outcome=wrong_confident run=$0.097 sweep=$18.40
[665/1542] P1-fever hub/board_inert/feverc_030 outcome=correct run=$0.065 sweep=$18.44
[666/1542] P1-fever hub/board_inert/feverc_029 outcome=wrong_confident run=$0.019 sweep=$18.47
[667/1542] P1-fever hub/board_inert/feverc_045 outcome=correct run=$0.043 sweep=$18.52
[668/1542] P1-fever hub/extract/feverc_033 outcome=correct run=$0.092 sweep=$18.52
[669/1542] P1-fever hub/board_inert/feverc_043 outcome=correct run=$0.065 sweep=$18.55
[670/1542] P1-fever hub/board_inert/feverc_018 outcome=wrong_confident run=$0.087 sweep=$18.62
[671/1542] P1-fever hub/board_inert/feverc_046 outcome=correct run=$0.074 sweep=$18.71
[672/1542] P1-fever hub/board_inert/feverc_031 outcome=correct run=$0.104 sweep=$18.76
== P1-fever complete in 172 min; sweep spend $18.77
== P2-fanoutqa: 480/480 jobs to run
[673/1542] P2-fanoutqa hub/vanilla/fanout_004 outcome=correct run=$0.014 sweep=$18.97
[674/1542] P2-fanoutqa hub/vanilla/fanout_008 outcome=wrong_confident run=$0.015 sweep=$19.05
[675/1542] P2-fanoutqa hub/vanilla/fanout_003 outcome=wrong_confident run=$0.015 sweep=$19.05
[676/1542] P2-fanoutqa hub/vanilla/fanout_000 outcome=correct run=$0.022 sweep=$19.05
[677/1542] P2-fanoutqa hub/vanilla/fanout_019 outcome=wrong_confident run=$0.014 sweep=$19.15
[678/1542] P2-fanoutqa hub/vanilla/fanout_018 outcome=wrong_confident run=$0.015 sweep=$19.15
[679/1542] P2-fanoutqa hub/vanilla/fanout_014 outcome=wrong_confident run=$0.015 sweep=$19.15
[680/1542] P2-fanoutqa hub/vanilla/fanout_020 outcome=wrong_confident run=$0.018 sweep=$19.15
[681/1542] P2-fanoutqa hub/vanilla/fanout_015 outcome=wrong_confident run=$0.020 sweep=$19.20
[682/1542] P2-fanoutqa hub/vanilla/fanout_002 outcome=correct run=$0.036 sweep=$19.30
[683/1542] P2-fanoutqa hub/vanilla/fanout_021 outcome=wrong_confident run=$0.029 sweep=$19.36
[684/1542] P2-fanoutqa hub/vanilla/fanout_011 outcome=wrong_confident run=$0.068 sweep=$19.41
[685/1542] P2-fanoutqa hub/vanilla/fanout_026 outcome=correct run=$0.040 sweep=$19.46
[686/1542] P2-fanoutqa hub/vanilla/fanout_033 outcome=wrong_confident run=$0.015 sweep=$19.50
[687/1542] P2-fanoutqa hub/vanilla/fanout_031 outcome=wrong_confident run=$0.029 sweep=$19.50
[688/1542] P2-fanoutqa hub/vanilla/fanout_006 outcome=wrong_confident run=$0.044 sweep=$19.55
[689/1542] P2-fanoutqa hub/vanilla/fanout_030 outcome=correct run=$0.027 sweep=$19.55
[690/1542] P2-fanoutqa hub/vanilla/fanout_001 outcome=wrong_confident run=$0.052 sweep=$19.59
[691/1542] P2-fanoutqa hub/vanilla/fanout_032 outcome=wrong_confident run=$0.017 sweep=$19.59
[692/1542] P2-fanoutqa hub/vanilla/fanout_037 outcome=wrong_confident run=$0.020 sweep=$19.62
[693/1542] P2-fanoutqa hub/vanilla/fanout_040 outcome=correct run=$0.026 sweep=$19.74
[694/1542] P2-fanoutqa hub/vanilla/fanout_023 outcome=wrong_confident run=$0.057 sweep=$19.74
[695/1542] P2-fanoutqa hub/vanilla/fanout_009 outcome=wrong_confident run=$0.075 sweep=$19.79
[696/1542] P2-fanoutqa hub/vanilla/fanout_012 outcome=abstained run=$0.062 sweep=$19.89
[697/1542] P2-fanoutqa hub/vanilla/fanout_028 outcome=wrong_confident run=$0.058 sweep=$19.89
[698/1542] P2-fanoutqa hub/vanilla/fanout_025 outcome=correct run=$0.058 sweep=$19.99
[699/1542] P2-fanoutqa hub/vanilla/fanout_046 outcome=wrong_confident run=$0.015 sweep=$20.13
[700/1542] P2-fanoutqa hub/vanilla/fanout_045 outcome=correct run=$0.029 sweep=$20.13
[701/1542] P2-fanoutqa hub/vanilla/fanout_005 outcome=correct run=$0.046 sweep=$20.21
[702/1542] P2-fanoutqa hub/vanilla/fanout_036 outcome=wrong_confident run=$0.062 sweep=$20.21
[703/1542] P2-fanoutqa hub/vanilla/fanout_017 outcome=wrong_confident run=$0.063 sweep=$20.21
[704/1542] P2-fanoutqa hub/vanilla/fanout_048 outcome=wrong_confident run=$0.021 sweep=$20.34
[705/1542] P2-fanoutqa hub/vanilla/fanout_049 outcome=wrong_confident run=$0.014 sweep=$20.40
[706/1542] P2-fanoutqa hub/vanilla/fanout_035 outcome=correct run=$0.043 sweep=$20.51
[707/1542] P2-fanoutqa hub/vanilla/fanout_024 outcome=wrong_confident run=$0.062 sweep=$20.61
[708/1542] P2-fanoutqa hub/vanilla/fanout_022 outcome=wrong_confident run=$0.058 sweep=$20.67
[709/1542] P2-fanoutqa hub/vanilla/fanout_016 outcome=wrong_confident run=$0.061 sweep=$20.67
[710/1542] P2-fanoutqa hub/vanilla/fanout_050 outcome=wrong_confident run=$0.023 sweep=$20.67
[711/1542] P2-fanoutqa hub/vanilla/fanout_029 outcome=wrong_confident run=$0.067 sweep=$20.94
[712/1542] P2-fanoutqa hub/vanilla/fanout_047 outcome=correct run=$0.033 sweep=$21.03
[713/1542] P2-fanoutqa hub/vanilla/fanout_061 outcome=wrong_confident run=$0.026 sweep=$21.03
[714/1542] P2-fanoutqa hub/vanilla/fanout_062 outcome=wrong_confident run=$0.016 sweep=$21.24
[715/1542] P2-fanoutqa hub/vanilla/fanout_038 outcome=correct run=$0.083 sweep=$21.27
[716/1542] P2-fanoutqa hub/vanilla/fanout_027 outcome=wrong_confident run=$0.083 sweep=$21.27
[717/1542] P2-fanoutqa hub/vanilla/fanout_013 outcome=wrong_confident run=$0.077 sweep=$21.27
[718/1542] P2-fanoutqa hub/vanilla/fanout_064 outcome=correct run=$0.020 sweep=$21.33
[719/1542] P2-fanoutqa hub/vanilla/fanout_043 outcome=wrong_confident run=$0.073 sweep=$21.33
[720/1542] P2-fanoutqa hub/vanilla/fanout_051 outcome=wrong_confident run=$0.050 sweep=$21.33
[721/1542] P2-fanoutqa hub/vanilla/fanout_039 outcome=wrong_confident run=$0.064 sweep=$21.39
[722/1542] P2-fanoutqa hub/vanilla/fanout_053 outcome=wrong_confident run=$0.044 sweep=$21.39
[723/1542] P2-fanoutqa hub/vanilla/fanout_065 outcome=correct run=$0.023 sweep=$21.55
[724/1542] P2-fanoutqa hub/vanilla/fanout_058 outcome=wrong_confident run=$0.048 sweep=$21.75
[725/1542] P2-fanoutqa hub/vanilla/fanout_072 outcome=correct run=$0.015 sweep=$21.85
[726/1542] P2-fanoutqa hub/vanilla/fanout_034 outcome=correct run=$0.070 sweep=$21.89
[727/1542] P2-fanoutqa hub/vanilla/fanout_067 outcome=wrong_confident run=$0.042 sweep=$21.89
[728/1542] P2-fanoutqa hub/vanilla/fanout_052 outcome=wrong_confident run=$0.087 sweep=$22.01
[729/1542] P2-fanoutqa hub/vanilla/fanout_060 outcome=wrong_confident run=$0.088 sweep=$22.01
[730/1542] P2-fanoutqa hub/vanilla/fanout_071 outcome=correct run=$0.022 sweep=$22.01
[731/1542] P2-fanoutqa hub/vanilla/fanout_075 outcome=correct run=$0.019 sweep=$22.05
[732/1542] P2-fanoutqa hub/vanilla/fanout_010 outcome=wrong_confident run=$0.186 sweep=$22.08
[733/1542] P2-fanoutqa hub/full/fanout_000 outcome=correct run=$0.019 sweep=$22.14
[734/1542] P2-fanoutqa hub/vanilla/fanout_059 outcome=wrong_confident run=$0.071 sweep=$22.23
[735/1542] P2-fanoutqa hub/full/fanout_004 outcome=correct run=$0.015 sweep=$22.31
[736/1542] P2-fanoutqa hub/vanilla/fanout_078 outcome=correct run=$0.055 sweep=$22.41
[737/1542] P2-fanoutqa hub/vanilla/fanout_041 outcome=wrong_confident run=$0.108 sweep=$22.41
[738/1542] P2-fanoutqa hub/vanilla/fanout_069 outcome=wrong_confident run=$0.071 sweep=$22.50
[739/1542] P2-fanoutqa hub/vanilla/fanout_044 outcome=wrong_confident run=$0.094 sweep=$22.55
[740/1542] P2-fanoutqa hub/vanilla/fanout_068 outcome=correct run=$0.046 sweep=$22.58
[741/1542] P2-fanoutqa hub/vanilla/fanout_070 outcome=correct run=$0.047 sweep=$22.63
[742/1542] P2-fanoutqa hub/vanilla/fanout_057 outcome=wrong_confident run=$0.086 sweep=$22.68
[743/1542] P2-fanoutqa hub/full/fanout_008 outcome=wrong_confident run=$0.018 sweep=$22.68
[744/1542] P2-fanoutqa hub/full/fanout_003 outcome=wrong_confident run=$0.051 sweep=$22.95
[745/1542] P2-fanoutqa hub/full/fanout_013 outcome=wrong_confident run=$0.017 sweep=$22.99
[746/1542] P2-fanoutqa hub/vanilla/fanout_074 outcome=wrong_confident run=$0.067 sweep=$22.99
[747/1542] P2-fanoutqa hub/vanilla/fanout_056 outcome=wrong_confident run=$0.119 sweep=$22.99
[748/1542] P2-fanoutqa hub/full/fanout_002 outcome=correct run=$0.056 sweep=$23.04
[749/1542] P2-fanoutqa hub/vanilla/fanout_076 outcome=wrong_confident run=$0.042 sweep=$23.10
[750/1542] P2-fanoutqa hub/full/fanout_015 outcome=wrong_confident run=$0.024 sweep=$23.22
[751/1542] P2-fanoutqa hub/full/fanout_018 outcome=wrong_confident run=$0.013 sweep=$23.24
[752/1542] P2-fanoutqa hub/vanilla/fanout_055 outcome=wrong_confident run=$0.097 sweep=$23.24
[753/1542] P2-fanoutqa hub/full/fanout_011 outcome=wrong_confident run=$0.052 sweep=$23.24
[754/1542] P2-fanoutqa hub/vanilla/fanout_007 outcome=wrong_confident run=$0.125 sweep=$23.31
[755/1542] P2-fanoutqa hub/full/fanout_009 outcome=wrong_confident run=$0.055 sweep=$23.31
[756/1542] P2-fanoutqa hub/full/fanout_001 outcome=wrong_confident run=$0.067 sweep=$23.50
[757/1542] P2-fanoutqa hub/full/fanout_012 outcome=wrong_confident run=$0.055 sweep=$23.56
[758/1542] P2-fanoutqa hub/full/fanout_022 outcome=correct run=$0.042 sweep=$23.66
[759/1542] P2-fanoutqa hub/full/fanout_014 outcome=wrong_confident run=$0.047 sweep=$23.70
[760/1542] P2-fanoutqa hub/full/fanout_028 outcome=correct run=$0.018 sweep=$23.80
[761/1542] P2-fanoutqa hub/full/fanout_027 outcome=wrong_confident run=$0.028 sweep=$23.91
[762/1542] P2-fanoutqa hub/vanilla/fanout_042 outcome=correct run=$0.166 sweep=$23.99
[763/1542] P2-fanoutqa hub/full/fanout_006 outcome=wrong_confident run=$0.092 sweep=$24.04
[764/1542] P2-fanoutqa hub/vanilla/fanout_066 outcome=correct run=$0.091 sweep=$24.26
[765/1542] P2-fanoutqa hub/vanilla/fanout_063 outcome=wrong_confident run=$0.132 sweep=$24.26
[766/1542] P2-fanoutqa hub/full/fanout_033 outcome=correct run=$0.023 sweep=$24.29
[767/1542] P2-fanoutqa hub/full/fanout_031 outcome=wrong_confident run=$0.037 sweep=$24.29
[768/1542] P2-fanoutqa hub/full/fanout_016 outcome=wrong_confident run=$0.067 sweep=$24.34
[769/1542] P2-fanoutqa hub/full/fanout_007 outcome=wrong_confident run=$0.080 sweep=$24.39
[770/1542] P2-fanoutqa hub/full/fanout_037 outcome=wrong_confident run=$0.022 sweep=$24.45
[771/1542] P2-fanoutqa hub/full/fanout_035 outcome=correct run=$0.019 sweep=$24.47
[772/1542] P2-fanoutqa hub/vanilla/fanout_079 outcome=abstained run=$0.096 sweep=$24.62
[773/1542] P2-fanoutqa hub/full/fanout_024 outcome=wrong_confident run=$0.041 sweep=$24.62
[774/1542] P2-fanoutqa hub/full/fanout_025 outcome=correct run=$0.070 sweep=$24.65
[775/1542] P2-fanoutqa hub/full/fanout_030 outcome=correct run=$0.062 sweep=$24.66
[776/1542] P2-fanoutqa hub/full/fanout_010 outcome=wrong_confident run=$0.145 sweep=$24.87
[777/1542] P2-fanoutqa hub/full/fanout_043 outcome=wrong_confident run=$0.036 sweep=$24.87
[778/1542] P2-fanoutqa hub/vanilla/fanout_073 outcome=wrong_confident run=$0.117 sweep=$24.96
[779/1542] P2-fanoutqa hub/full/fanout_048 outcome=wrong_confident run=$0.026 sweep=$25.24
[780/1542] P2-fanoutqa hub/full/fanout_019 outcome=wrong_confident run=$0.072 sweep=$25.24
[781/1542] P2-fanoutqa hub/full/fanout_020 outcome=wrong_confident run=$0.073 sweep=$25.24
[782/1542] P2-fanoutqa hub/full/fanout_026 outcome=correct run=$0.059 sweep=$25.37
[783/1542] P2-fanoutqa hub/full/fanout_029 outcome=wrong_confident run=$0.086 sweep=$25.46
[784/1542] P2-fanoutqa hub/full/fanout_017 outcome=wrong_confident run=$0.083 sweep=$25.46
[785/1542] P2-fanoutqa hub/full/fanout_005 outcome=correct run=$0.092 sweep=$25.63
[786/1542] P2-fanoutqa hub/full/fanout_038 outcome=wrong_confident run=$0.053 sweep=$25.89
[787/1542] P2-fanoutqa hub/full/fanout_032 outcome=wrong_confident run=$0.071 sweep=$26.05
[788/1542] P2-fanoutqa hub/full/fanout_049 outcome=wrong_confident run=$0.037 sweep=$26.05
[789/1542] P2-fanoutqa hub/vanilla/fanout_077 outcome=abstained run=$0.084 sweep=$26.14
[790/1542] P2-fanoutqa hub/full/fanout_044 outcome=wrong_confident run=$0.082 sweep=$26.25
[791/1542] P2-fanoutqa hub/vanilla/fanout_054 outcome=wrong_confident run=$0.255 sweep=$26.59
[792/1542] P2-fanoutqa hub/full/fanout_045 outcome=correct run=$0.094 sweep=$26.59
[793/1542] P2-fanoutqa hub/full/fanout_040 outcome=correct run=$0.089 sweep=$26.85
[794/1542] P2-fanoutqa hub/full/fanout_060 outcome=wrong_confident run=$0.059 sweep=$26.94
[795/1542] P2-fanoutqa hub/full/fanout_063 outcome=correct run=$0.036 sweep=$27.03
[796/1542] P2-fanoutqa hub/full/fanout_039 outcome=wrong_confident run=$0.139 sweep=$27.03
[797/1542] P2-fanoutqa hub/full/fanout_023 outcome=wrong_confident run=$0.141 sweep=$27.09
[798/1542] P2-fanoutqa hub/full/fanout_050 outcome=wrong_confident run=$0.064 sweep=$27.16
[799/1542] P2-fanoutqa hub/full/fanout_059 outcome=wrong_confident run=$0.054 sweep=$27.20
[800/1542] P2-fanoutqa hub/full/fanout_034 outcome=correct run=$0.081 sweep=$27.20
[801/1542] P2-fanoutqa hub/full/fanout_047 outcome=correct run=$0.125 sweep=$27.35
[802/1542] P2-fanoutqa hub/full/fanout_062 outcome=wrong_confident run=$0.050 sweep=$27.41
[803/1542] P2-fanoutqa hub/full/fanout_042 outcome=correct run=$0.154 sweep=$27.53
[804/1542] P2-fanoutqa hub/full/fanout_046 outcome=correct run=$0.103 sweep=$27.58
[805/1542] P2-fanoutqa hub/full/fanout_051 outcome=wrong_confident run=$0.120 sweep=$27.68
[806/1542] P2-fanoutqa hub/full/fanout_067 outcome=wrong_confident run=$0.079 sweep=$27.68
[807/1542] P2-fanoutqa hub/full/fanout_056 outcome=wrong_confident run=$0.100 sweep=$27.75
[808/1542] P2-fanoutqa hub/full/fanout_065 outcome=correct run=$0.057 sweep=$27.91
[809/1542] P2-fanoutqa hub/full/fanout_053 outcome=wrong_confident run=$0.092 sweep=$27.91
[810/1542] P2-fanoutqa hub/full/fanout_061 outcome=wrong_confident run=$0.075 sweep=$28.01
[811/1542] P2-fanoutqa hub/full/fanout_072 outcome=correct run=$0.049 sweep=$28.20
[812/1542] P2-fanoutqa hub/sop/fanout_001 outcome=wrong_confident run=$0.031 sweep=$28.28
[813/1542] P2-fanoutqa hub/full/fanout_069 outcome=wrong_confident run=$0.060 sweep=$28.70
[814/1542] P2-fanoutqa hub/sop/fanout_003 outcome=wrong_confident run=$0.017 sweep=$28.73
[815/1542] P2-fanoutqa hub/full/fanout_079 outcome=wrong_confident run=$0.042 sweep=$28.77
[816/1542] P2-fanoutqa hub/full/fanout_071 outcome=wrong_confident run=$0.055 sweep=$28.82
[817/1542] P2-fanoutqa hub/full/fanout_066 outcome=wrong_confident run=$0.076 sweep=$28.82
[818/1542] P2-fanoutqa hub/sop/fanout_004 outcome=correct run=$0.014 sweep=$28.82
[819/1542] P2-fanoutqa hub/full/fanout_064 outcome=correct run=$0.078 sweep=$28.95
[820/1542] P2-fanoutqa hub/full/fanout_068 outcome=wrong_confident run=$0.108 sweep=$29.05
[821/1542] P2-fanoutqa hub/full/fanout_021 outcome=wrong_confident run=$0.153 sweep=$29.05
[822/1542] P2-fanoutqa hub/full/fanout_070 outcome=correct run=$0.074 sweep=$29.05
[823/1542] P2-fanoutqa hub/full/fanout_075 outcome=correct run=$0.061 sweep=$29.15
[824/1542] P2-fanoutqa hub/sop/fanout_008 outcome=wrong_confident run=$0.014 sweep=$29.15
[825/1542] P2-fanoutqa hub/full/fanout_055 outcome=wrong_confident run=$0.166 sweep=$29.15
[826/1542] P2-fanoutqa hub/full/fanout_041 outcome=wrong_confident run=$0.183 sweep=$29.24
[827/1542] P2-fanoutqa hub/sop/fanout_000 outcome=correct run=$0.049 sweep=$29.32
[828/1542] P2-fanoutqa hub/full/fanout_078 outcome=correct run=$0.063 sweep=$29.32
[829/1542] P2-fanoutqa hub/sop/fanout_006 outcome=wrong_confident run=$0.032 sweep=$29.32
[830/1542] P2-fanoutqa hub/sop/fanout_002 outcome=correct run=$0.049 sweep=$29.47
[831/1542] P2-fanoutqa hub/full/fanout_073 outcome=wrong_confident run=$0.088 sweep=$29.47
[832/1542] P2-fanoutqa hub/sop/fanout_013 outcome=wrong_confident run=$0.017 sweep=$29.47
[833/1542] P2-fanoutqa hub/sop/fanout_014 outcome=wrong_confident run=$0.017 sweep=$29.60
[834/1542] P2-fanoutqa hub/sop/fanout_016 outcome=wrong_confident run=$0.020 sweep=$29.63
[835/1542] P2-fanoutqa hub/full/fanout_074 outcome=wrong_confident run=$0.068 sweep=$29.63
[836/1542] P2-fanoutqa hub/sop/fanout_019 outcome=wrong_confident run=$0.015 sweep=$29.63
[837/1542] P2-fanoutqa hub/full/fanout_054 outcome=wrong_confident run=$0.203 sweep=$29.63
[838/1542] P2-fanoutqa hub/full/fanout_058 outcome=wrong_confident run=$0.134 sweep=$29.69
[839/1542] P2-fanoutqa hub/sop/fanout_005 outcome=correct run=$0.036 sweep=$29.76
[840/1542] P2-fanoutqa hub/full/fanout_036 outcome=wrong_confident run=$0.245 sweep=$29.85
[841/1542] P2-fanoutqa hub/sop/fanout_021 outcome=wrong_confident run=$0.026 sweep=$29.92
[842/1542] P2-fanoutqa hub/sop/fanout_024 outcome=wrong_confident run=$0.041 sweep=$30.04
[843/1542] P2-fanoutqa hub/sop/fanout_025 outcome=correct run=$0.033 sweep=$30.04
[844/1542] P2-fanoutqa hub/sop/fanout_012 outcome=wrong_confident run=$0.058 sweep=$30.26
[845/1542] P2-fanoutqa hub/sop/fanout_023 outcome=wrong_confident run=$0.048 sweep=$30.29
[846/1542] P2-fanoutqa hub/full/fanout_076 outcome=wrong_confident run=$0.091 sweep=$30.29
[847/1542] P2-fanoutqa hub/sop/fanout_031 outcome=wrong_confident run=$0.027 sweep=$30.35
[848/1542] P2-fanoutqa hub/sop/fanout_027 outcome=wrong_confident run=$0.024 sweep=$30.35
[849/1542] P2-fanoutqa hub/sop/fanout_033 outcome=correct run=$0.030 sweep=$30.55
[850/1542] P2-fanoutqa hub/sop/fanout_018 outcome=wrong_confident run=$0.054 sweep=$30.61
[851/1542] P2-fanoutqa hub/sop/fanout_037 outcome=wrong_confident run=$0.019 sweep=$30.72
[852/1542] P2-fanoutqa hub/sop/fanout_015 outcome=wrong_confident run=$0.055 sweep=$30.82
[853/1542] P2-fanoutqa hub/sop/fanout_038 outcome=wrong_confident run=$0.027 sweep=$30.86
[854/1542] P2-fanoutqa hub/sop/fanout_020 outcome=wrong_confident run=$0.054 sweep=$30.87
[855/1542] P2-fanoutqa hub/sop/fanout_028 outcome=correct run=$0.057 sweep=$30.94
[856/1542] P2-fanoutqa hub/full/fanout_057 outcome=wrong_confident run=$0.170 sweep=$31.01
[857/1542] P2-fanoutqa hub/sop/fanout_017 outcome=wrong_confident run=$0.060 sweep=$31.01
[858/1542] P2-fanoutqa hub/sop/fanout_030 outcome=correct run=$0.055 sweep=$31.11
[859/1542] P2-fanoutqa hub/full/fanout_052 outcome=wrong_confident run=$0.164 sweep=$31.11
[860/1542] P2-fanoutqa hub/sop/fanout_034 outcome=correct run=$0.043 sweep=$31.22
[861/1542] P2-fanoutqa hub/sop/fanout_011 outcome=wrong_confident run=$0.122 sweep=$31.28
resuming sweep (t0=1783664389, spent so far $31.36)
P4 sweep: 1542 jobs total, 861 already done; workers=24, cap=$100.0
== P1-fever: all 672 jobs already done
== P2-fanoutqa: 291/480 jobs to run
